## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[chr3.bam] OUTPUT=chr3_dedup.bam METRICS_FILE=chr3_dedup.metrics.txt CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Dec 06 08:09:45 GMT 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	4	222628	1069	4	0	58	0	0.000261	427194980

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	222512	222512
2.0	1.999479	58	58
3.0	2.998437	0	0
4.0	3.996875	0	0
5.0	4.994793	0	0
6.0	5.99219	0	0
7.0	6.989068	0	0
8.0	7.985427	0	0
9.0	8.981267	0	0
10.0	9.976587	0	0
11.0	10.97139	0	0
12.0	11.965673	0	0
13.0	12.959439	0	0
14.0	13.952687	0	0
15.0	14.945418	0	0
16.0	15.937631	0	0
17.0	16.929328	0	0
18.0	17.920508	0	0
19.0	18.911171	0	0
20.0	19.901318	0	0
21.0	20.890949	0	0
22.0	21.880065	0	0
23.0	22.868666	0	0
24.0	23.856751	0	0
25.0	24.844322	0	0
26.0	25.831378	0	0
27.0	26.817919	0	0
28.0	27.803947	0	0
29.0	28.789461	0	0
30.0	29.774462	0	0
31.0	30.758949	0	0
32.0	31.742924	0	0
33.0	32.726385	0	0
34.0	33.709335	0	0
35.0	34.691772	0	0
36.0	35.673698	0	0
37.0	36.655112	0	0
38.0	37.636014	0	0
39.0	38.616406	0	0
40.0	39.596286	0	0
41.0	40.575657	0	0
42.0	41.554517	0	0
43.0	42.532867	0	0
44.0	43.510707	0	0
45.0	44.488038	0	0
46.0	45.464859	0	0
47.0	46.441172	0	0
48.0	47.416976	0	0
49.0	48.392271	0	0
50.0	49.367059	0	0
51.0	50.341338	0	0
52.0	51.31511	0	0
53.0	52.288375	0	0
54.0	53.261133	0	0
55.0	54.233383	0	0
56.0	55.205128	0	0
57.0	56.176366	0	0
58.0	57.147098	0	0
59.0	58.117324	0	0
60.0	59.087044	0	0
61.0	60.05626	0	0
62.0	61.02497	0	0
63.0	61.993176	0	0
64.0	62.960877	0	0
65.0	63.928075	0	0
66.0	64.894768	0	0
67.0	65.860958	0	0
68.0	66.826644	0	0
69.0	67.791827	0	0
70.0	68.756507	0	0
71.0	69.720685	0	0
72.0	70.68436	0	0
73.0	71.647533	0	0
74.0	72.610205	0	0
75.0	73.572374	0	0
76.0	74.534043	0	0
77.0	75.495211	0	0
78.0	76.455877	0	0
79.0	77.416044	0	0
80.0	78.375709	0	0
81.0	79.334875	0	0
82.0	80.293542	0	0
83.0	81.251709	0	0
84.0	82.209376	0	0
85.0	83.166545	0	0
86.0	84.123215	0	0
87.0	85.079386	0	0
88.0	86.03506	0	0
89.0	86.990235	0	0
90.0	87.944913	0	0
91.0	88.899093	0	0
92.0	89.852777	0	0
93.0	90.805963	0	0
94.0	91.758653	0	0
95.0	92.710846	0	0
96.0	93.662544	0	0
97.0	94.613745	0	0
98.0	95.564451	0	0
99.0	96.514662	0	0
100.0	97.464377	0	0

